연번,노선명,역명,엘리베이터,에스컬레이터,휠체어리프트
1,경부선,남영역사,0,0,1
2,경부선,서울역사,18,23,1
3,경부선,용산역사,14,23,0
4,경원선,광운대역사,1,4,2
5,경원선,녹천역사,8,0,0
6,경원선,도봉역사,3,0,0
7,경원선,도봉산역사,5,10,0
8,경원선,망월사역사,4,4,2
9,경원선,방학역사,4,0,0
10,경원선,석계역사,1,1,0
11,경원선,신이문역사,4,3,3
12,경원선,외대앞역사,0,0,1
13,경원선,월계역사,8,9,0
14,경원선,회룡역사,4,8,0
15,경원선,회기역사,6,7,0
16,경원선,이촌역사,3,4,0
17,경원선,한남역사,0,0,2
18,경원선,가능역사,2,4,0
19,경원선,녹양역사,2,4,0
20,경원선,덕계역사,2,4,1
21,경원선,덕정역사,2,4,0
22,경원선,동두천역사,5,7,0
23,경원선,동두천중앙역사,2,6,0
24,경원선,보산역사,2,6,0
25,경원선,소요산역사,0,0,0
26,경원선,양주역사,2,4,0
27,경원선,의정부역사,9,12,0
28,경원선,지행역사,2,4,0
29,경원선,옥수역사,2,4,0
30,경원선,왕십리역사,5,14,2
31,경원선,응봉역사,3,0,0
32,경원선,서빙고역사,3,0,0
33,경원선,초성리역사,0,0,0
34,경원선,대광리역사,0,0,0
35,경원선,백마고지역사,0,0,0
36,경원선,신망리역사,0,0,0
37,경원선,신탄리역사,0,0,0
38,경원선,연천역사,0,0,0
39,경의선,곡산역사,4,8,0
40,경의선,금릉역사,3,8,0
41,경의선,금촌역사,4,8,0
42,경의선,능곡역사,6,10,0
43,경의선,대곡역사,6,8,0
44,경의선,문산역사,4,6,0
45,경의선,백마역사,4,8,0
46,경의선,야당역사,4,10,0
47,경의선,운정역사,6,10,0
48,경의선,월롱역사,2,2,0
49,경의선,일산역사,5,12,0
50,경의선,임진강역사,0,0,0
51,경의선,운천역사,0,0,0
52,경의선,탄현역사,4,6,0
53,경의선,파주역사,3,5,0
54,경의선,풍산역사,3,4,0
55,경의선,가좌역사,5,22,0
56,경의선,강매역사,3,6,0
57,경의선,디지털미디어시티역사,9,20,0
58,경의선,신촌역사,4,2,0
59,경의선,화전역사,4,8,0
60,경의선,도라산역사,1,3,2
61,경의선,수색역사,5,8,0
62,경의선,행신역사,4,10,0
63,경춘선,갈매역사,2,4,0
64,경춘선,신내역사,5,10,0
65,경춘선,가평역사,2,4,0
66,경춘선,강촌역사,2,4,0
67,경춘선,굴봉산역사,2,0,0
68,경춘선,금곡역사,3,6,0
69,경춘선,김유정역사,3,0,0
70,경춘선,남춘천역사,2,6,0
71,경춘선,대성리역사,3,4,0
72,경춘선,마석역사,3,4,0
73,경춘선,백양리역사,2,0,0
74,경춘선,별내역사,2,4,0
75,경춘선,사릉역사,3,6,0
76,경춘선,상천역사,2,0,0
77,경춘선,천마산역사,2,6,0
78,경춘선,청평역사,2,4,0
79,경춘선,춘천역사,4,7,0
80,경춘선,퇴계원역사,2,4,0
81,경춘선,평내호평역사,2,4,0
82,교외선,벽제역사,0,0,0
83,교외선,송추역사,0,0,0
84,교외선,원릉역사,0,0,0
85,교외선,일영역사,0,0,0
86,교외선,장흥역사,0,0,0
87,서해선,김포공항역사,5,18,0
88,서해선,원종역사,4,30,0
89,서해선,부천종합운동장역사,4,22,0
90,용산선,홍대입구역사,5,16,0
91,용산선,공덕역사,7,16,0
92,용산선,서강대역사,4,10,0
93,용산선,효창공원앞역사,4,14,0
94,일산선,대화역사,3,4,0
95,일산선,마두역사,3,12,0
96,일산선,백석역사,2,5,0
97,일산선,삼송역사,5,16,0
98,일산선,원당역사,4,10,0
99,일산선,원흥역사,6,19,0
100,일산선,정발산역사,4,8,0
101,일산선,주엽역사,3,12,0
102,일산선,지축역사,0,0,0
103,일산선,화정역사,4,8,0
104,중앙선,구리역사,3,4,0
105,중앙선,덕소역사,4,8,0
106,중앙선,도농역사,4,8,0
107,중앙선,도심역사,2,8,0
108,중앙선,망우역사,6,8,0
109,중앙선,상봉역사,5,11,0
110,중앙선,양원역사,4,6,0
